# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			10013045	10013045	10013045			
N_multimapping			13963534	13963534	13963534			
N_noFeature			61849530	96125934	64057728			
N_ambiguous			4526299	42484	3203336			
ENSG00000000003.15	TSPAN6	protein_coding	7478	8	7470	145.9528	56.8227	58.8557
ENSG00000000005.6	TNMD	protein_coding	264	65	199	15.8350	6.1649	6.3855
ENSG00000000419.13	DPM1	protein_coding	2256	46	2210	165.4748	64.4230	66.7280
ENSG00000000457.14	SCYL3	protein_coding	659	262	757	8.4763	3.3000	3.4181
ENSG00000000460.17	C1orf112	protein_coding	486	290	567	7.2071	2.8059	2.9063
ENSG00000000938.13	FGR	protein_coding	262	1	261	6.8585	2.6702	2.7657
ENSG00000000971.16	CFH	protein_coding	1168	9	1159	12.9581	5.0449	5.2254
ENSG00000001036.14	FUCA2	protein_coding	1517	23	2184	47.5914	18.5284	19.1913
ENSG00000001084.13	GCLC	protein_coding	2941	9	3227	30.2126	11.7625	12.1833
ENSG00000001167.14	NFYA	protein_coding	1893	5	2069	43.9756	17.1207	17.7332
ENSG00000001460.18	STPG1	protein_coding	198	54	159	2.0596	0.8019	0.8305
ENSG00000001461.17	NIPAL3	protein_coding	1357	12	1360	12.7861	4.9779	5.1560
ENSG00000001497.18	LAS1L	protein_coding	2139	187	1974	15.0832	5.8722	6.0823
ENSG00000001561.7	ENPP4	protein_coding	1859	13	1846	35.4395	13.7974	14.2910
ENSG00000001617.12	SEMA3F	protein_coding	354	3	353	6.4941	2.5283	2.6187
ENSG00000001626.16	CFTR	protein_coding	27394	215	27246	243.9392	94.9710	98.3689
ENSG00000001629.10	ANKIB1	protein_coding	4182	7	4181	50.1070	19.5078	20.2057
ENSG00000001630.17	CYP51A1	protein_coding	97	0	101	2.4334	0.9474	0.9813
ENSG00000001631.16	KRIT1	protein_coding	435	7	434	6.2075	2.4167	2.5032
ENSG00000002016.18	RAD52	protein_coding	11747	229	11522	230.9537	89.9155	93.1325
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	45	33	19	0.6317	0.2459	0.2547
ENSG00000002330.14	BAD	protein_coding	119	15	257	6.1682	2.4014	2.4873
ENSG00000002549.12	LAP3	protein_coding	1455	6	1456	34.0328	13.2497	13.7238
ENSG00000002586.20	CD99	protein_coding	3176	11	3165	57.8793	22.5337	23.3399
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	306	105	201	3.6437	1.4186	1.4693
ENSG00000002726.21	AOC1	protein_coding	1762	30	1732	41.2027	16.0411	16.6150
ENSG00000002745.13	WNT16	protein_coding	35	30	5	0.9493	0.3696	0.3828
ENSG00000002746.15	HECW1	protein_coding	103	16	90	0.6544	0.2548	0.2639
ENSG00000002822.15	MAD1L1	protein_coding	178	0	178	2.1796	0.8486	0.8789
ENSG00000002834.18	LASP1	protein_coding	5231	9	7070	65.5871	25.5345	26.4481
ENSG00000002919.15	SNX11	protein_coding	448	8	440	9.5965	3.7361	3.8698
ENSG00000002933.9	TMEM176A	protein_coding	1415	14	1407	36.0290	14.0269	14.5287
ENSG00000003056.8	M6PR	protein_coding	1884	90	2630	46.5256	18.1134	18.7615
ENSG00000003096.14	KLHL13	protein_coding	93	5	88	1.1791	0.4590	0.4755
ENSG00000003137.8	CYP26B1	protein_coding	39	2	37	0.6885	0.2680	0.2776
ENSG00000003147.19	ICA1	protein_coding	1723	30	1811	31.2391	12.1621	12.5972
ENSG00000003249.15	DBNDD1	protein_coding	159	27	133	3.1548	1.2282	1.2722
ENSG00000003393.15	ALS2	protein_coding	1211	17	1194	10.2713	3.9989	4.1419
ENSG00000003400.15	CASP10	protein_coding	1173	11	1162	13.6985	5.3331	5.5239
ENSG00000003402.20	CFLAR	protein_coding	8107	34	9095	31.9288	12.4306	12.8754
