File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
70f17418-6373-4928-ac14-64c61fa0650a	dcd92f62-bed1-4718-a918-6eda2855366a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-EXPT-1227-C18	HCM-EXPT-1227-C18-01A	Tumor	Primary	Solid Tissue	Frozen
e71729c6-aba1-4504-9534-ad884a7f7577	5e1b3528-dc3b-43ef-93ab-7285763fefe7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-CSHL-0393-C18	HCM-CSHL-0393-C18-85A	Tumor	Metastatic	3D Organoid	Frozen
065eb382-fa9a-4835-a06d-16f580a57c5b	067aebac-7913-4b55-9b84-3e2dccdcb58b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-EXPT-1235-C18	HCM-EXPT-1235-C18-01A	Tumor	Primary	Solid Tissue	Frozen
b924b26d-59a5-4977-9035-16e8738da4d8	83128eeb-a9b2-4af9-abfa-7992b292e198.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-EXPT-1226-C18	HCM-EXPT-1226-C18-01A	Tumor	Primary	Solid Tissue	Frozen
60a674ab-da56-4ca6-924f-69ac1f056f58	05a71798-3185-4538-bb29-ecb2c2a6bd79.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-EXPT-1238-C18	HCM-EXPT-1238-C18-01A	Tumor	Primary	Solid Tissue	Frozen
a06afd90-9204-4635-b4f2-14035675f01c	7179a2e9-1847-4628-9c05-136d6dd59b2b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	HCMI-CMDC	HCM-EXPT-1155-C18	HCM-EXPT-1155-C18-06A	Tumor	Metastatic	Solid Tissue	Frozen
ff710149-0fc6-464a-93cb-e3b9bdcf3525	dfb9c45f-cb52-4e36-b663-1a9e8c7c0b47.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3561	TCGA-AA-3561-01A	Tumor	Primary	Unknown	Unknown
08c9b174-59f5-4d74-8f01-99fbd2531f20	fec205e8-388c-47a2-9400-ec9fe2e0fab1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-6653	TCGA-A6-6653-01A	Tumor	Primary	Solid Tissue	Unknown
c4ac41f0-1880-4fc0-a9e9-69856a6c373d	bd844a66-bb61-4ba1-9301-1bdeec35620f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3819	TCGA-AA-3819-01A	Tumor	Primary	Unknown	Unknown
fbf0b466-f383-441f-84ff-2513b6792b90	2cec663c-00c8-48b5-967b-f2a53c0fb409.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-D5-6534	TCGA-D5-6534-01A	Tumor	Primary	Solid Tissue	Unknown
1083930a-42f7-49dc-a448-f8cafa7313e5	8f45c6c4-b98d-4e0b-9bb0-b5be3894076d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3837	TCGA-AA-3837-01A	Tumor	Primary	Unknown	Unknown
cd10bd5e-b75b-4d47-a103-9c259dcf1a19	c874c481-cff8-4e2d-99b1-3b5aeaaecb8e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-3810	TCGA-A6-3810-01A	Tumor	Primary	Solid Tissue	Unknown
a77adf63-487b-476e-bd33-903005c1dba9	12b633ae-2a36-40b0-a4a3-c1d5f021fa23.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3854	TCGA-AA-3854-01A	Tumor	Primary	Unknown	Unknown
