Cancer id,Population id,Sex,Type,Age period,Year,Rate
5,840,1,0,0-4,1978-1982,0
5,840,1,0,0-4,1983-1987,0
5,840,1,0,0-4,1988-1992,0
5,840,1,0,0-4,1993-1997,0
5,840,1,0,0-4,1998-2002,0
5,840,1,0,0-4,2003-2007,0.02067395437
5,840,1,0,0-4,2008-2012,0
5,840,1,0,0-4,2013-2017,0
5,840,1,0,5-9,1978-1982,0
5,840,1,0,5-9,1983-1987,0
5,840,1,0,5-9,1988-1992,0
5,840,1,0,5-9,1993-1997,0
5,840,1,0,5-9,1998-2002,0.02025149522
5,840,1,0,5-9,2003-2007,0
5,840,1,0,5-9,2008-2012,0
5,840,1,0,5-9,2013-2017,0.1400181183
5,840,1,0,10-14,1978-1982,0.06764238553
5,840,1,0,10-14,1983-1987,0.04945111732
5,840,1,0,10-14,1988-1992,0.02390100776
5,840,1,0,10-14,1993-1997,0.06453450402
5,840,1,0,10-14,1998-2002,0.06055356861
5,840,1,0,10-14,2003-2007,0.03953175428
5,840,1,0,10-14,2008-2012,0.02017577132
5,840,1,0,10-14,2013-2017,0.3393892351
5,840,1,0,15-19,1978-1982,0.1641028334
5,840,1,0,15-19,1983-1987,0.2058223483
5,840,1,0,15-19,1988-1992,0.1449559672
5,840,1,0,15-19,1993-1997,0.1363706719
5,840,1,0,15-19,1998-2002,0.1455437316
5,840,1,0,15-19,2003-2007,0.1794083829
5,840,1,0,15-19,2008-2012,0.2925689819
5,840,1,0,15-19,2013-2017,1.164192724
5,840,1,0,20-24,1978-1982,0.3957922534
5,840,1,0,20-24,1983-1987,0.4266880796
5,840,1,0,20-24,1988-1992,0.4414671897
5,840,1,0,20-24,1993-1997,0.4140537193
5,840,1,0,20-24,1998-2002,0.4347762761
5,840,1,0,20-24,2003-2007,0.6293643116
5,840,1,0,20-24,2008-2012,0.8861234835
5,840,1,0,20-24,2013-2017,1.37627638
5,840,1,0,25-29,1978-1982,0.9827243206
5,840,1,0,25-29,1983-1987,0.9615941194
5,840,1,0,25-29,1988-1992,0.8295271541
5,840,1,0,25-29,1993-1997,0.9967197749
5,840,1,0,25-29,1998-2002,1.035134965
5,840,1,0,25-29,2003-2007,1.506706098
5,840,1,0,25-29,2008-2012,1.374986516
5,840,1,0,25-29,2013-2017,2.238808261
5,840,1,0,30-34,1978-1982,2.27693339
5,840,1,0,30-34,1983-1987,2.118204698
5,840,1,0,30-34,1988-1992,2.219198359
5,840,1,0,30-34,1993-1997,2.192492904
5,840,1,0,30-34,1998-2002,2.184917629
5,840,1,0,30-34,2003-2007,2.760081453
5,840,1,0,30-34,2008-2012,3.214675418
5,840,1,0,30-34,2013-2017,3.376355899
5,840,1,0,35-39,1978-1982,4.306136852
5,840,1,0,35-39,1983-1987,4.426942746
5,840,1,0,35-39,1988-1992,4.021272735
5,840,1,0,35-39,1993-1997,4.213988126
5,840,1,0,35-39,1998-2002,4.702068382
5,840,1,0,35-39,2003-2007,4.756551068
5,840,1,0,35-39,2008-2012,5.329016557
5,840,1,0,35-39,2013-2017,6.328938834
5,840,1,0,40-44,1978-1982,9.565131715
5,840,1,0,40-44,1983-1987,8.120507154
5,840,1,0,40-44,1988-1992,7.875210742
5,840,1,0,40-44,1993-1997,8.377132477
5,840,1,0,40-44,1998-2002,8.477933822
5,840,1,0,40-44,2003-2007,9.620861178
5,840,1,0,40-44,2008-2012,9.505302474
5,840,1,0,40-44,2013-2017,11.65700766
5,840,1,0,45-49,1978-1982,18.15731623
5,840,1,0,45-49,1983-1987,18.59238108
5,840,1,0,45-49,1988-1992,16.74233429
5,840,1,0,45-49,1993-1997,15.45698688
5,840,1,0,45-49,1998-2002,16.66881216
5,840,1,0,45-49,2003-2007,16.92880609
5,840,1,0,45-49,2008-2012,18.26805815
5,840,1,0,45-49,2013-2017,20.78812553
5,840,1,0,50-54,1978-1982,35.5696107
5,840,1,0,50-54,1983-1987,36.50929296
5,840,1,0,50-54,1988-1992,35.39260238
5,840,1,0,50-54,1993-1997,32.53473235
5,840,1,0,50-54,1998-2002,33.90406772
5,840,1,0,50-54,2003-2007,36.55740278
5,840,1,0,50-54,2008-2012,36.35413118
5,840,1,0,50-54,2013-2017,39.73167315
5,840,1,0,55-59,1978-1982,65.99659694
5,840,1,0,55-59,1983-1987,69.16230678
5,840,1,0,55-59,1988-1992,67.89513487
5,840,1,0,55-59,1993-1997,60.39085245
5,840,1,0,55-59,1998-2002,59.27762178
5,840,1,0,55-59,2003-2007,53.69848302
5,840,1,0,55-59,2008-2012,45.59332778
5,840,1,0,55-59,2013-2017,44.53017632
5,840,1,0,60-64,1978-1982,108.2325218
5,840,1,0,60-64,1983-1987,117.302334
5,840,1,0,60-64,1988-1992,111.1182985
